"","friends_lang"
"1","Pohnpeian"
"2","Pohnpeian"
"3","Pohnpeian"
"4","Pohnpeian"
"5","Pohnpeian"
"6","Pohnpeian"
"7","Pohnpeian"
"8","Pohnpeian"
"9","Pohnpeian"
"10","Pohnpeian"
"11","Pohnpeian"
"12","Pohnpeian"
"13","Pohnpeian"
"14","Pohnpeian"
"15","Pohnpeian"
"16","Pohnpeian"
"17","Pohnpeian"
"18","Pohnpeian"
"19","Pohnpeian"
"20","Pohnpeian"
"21","Pohnpeian"
"22","Pohnpeian"
"23","Pohnpeian"
"24","Pohnpeian"
"25","Pohnpeian"
"26","Pohnpeian"
"27","Pohnpeian"
"28","Pohnpeian"
"29","Pohnpeian"
"30","Pohnpeian"
"31","Pohnpeian"
"32","Pohnpeian"
"33","Pohnpeian"
"34","Pohnpeian"
"35","Pohnpeian"
"36","Pohnpeian"
"37","Pohnpeian"
"38","Pohnpeian"
"39","Pohnpeian"
"40","Pohnpeian"
"41","Pohnpeian"
"42","Pohnpeian"
"43","Pohnpeian"
"44","English"
"45","Pohnpeian"
"46","Pohnpeian"
"47","Pohnpeian"
"48","Pohnpeian"
"49","Pohnpeian"
"50","English"
"51","Pohnpeian"
"52","Pohnpeian"
"53","Pohnpeian"
"54","Pohnpeian"
"55","Pohnpeian"
"56","Pohnpeian"
"57","Pohnpeian"
"58","Pohnpeian"
"59","Pohnpeian"
"60","Mortlockese"
"61","Pohnpeian"
"62","Pohnpeian"
"63","Pohnpeian"
"64","Pohnpeian"
"65","Pohnpeian"
"66","Pohnpeian"
"67","Pohnpeian"
"68","Pohnpeian"
"69","Pohnpeian"
"70","Pohnpeian"
"71","Pohnpeian"
"72","Pohnpeian"
"73","Pohnpeian"
"75","Pohnpeian"
"76","Pohnpeian"
"77","Pohnpeian"
"78","English"
"79","Pohnpeian"
"80","Pohnpeian"
"81","Pohnpeian"
"82","Pohnpeian"
"83","Pohnpeian"
"84","Pohnpeian"
"85","Pohnpeian"
"86","Pohnpeian"
"87","Pohnpeian"
"88","Pohnpeian"
"89","Pohnpeian"
"90","Pohnpeian"
"91","Pohnpeian"
"92","Pohnpeian"
"93","Pohnpeian"
"94","Ngatikese"
"95","Pohnpeian"
"96","Ngatikese"
"97","Pohnpeian"
"98","Pohnpeian"
"99","Pohnpeian"
"100","Pohnpeian"
"101","Pohnpeian"
"102","Pohnpeian"
"103","Pohnpeian"
"104","Pohnpeian"
"105","Pohnpeian"
"106","Pohnpeian"
"107","Pohnpeian"
"108","Pohnpeian"
"109","Pohnpeian"
"110","Pohnpeian"
"111","Pohnpeian"
"112","Pohnpeian"
"113","Pohnpeian"
"114","Pohnpeian"
"115","Pohnpeian"
"116","Pohnpeian"
"117","Pohnpeian"
"118","Pohnpeian"
"119","Pohnpeian"
"120","Pohnpeian"
"121","Pohnpeian"
"122","Pohnpeian"
"123","Pohnpeian"
"124","Pohnpeian"
"125","Pohnpeian"
"126","Pohnpeian"
"127","Pohnpeian"
"128","Pohnpeian"
"129","Pohnpeian"
"130","Pohnpeian"
"131","Pohnpeian"
"132","Kapingamarangi"
"133","Pohnpeian"
"134","Kapingamarangi"
"135","Pohnpeian"
"136","English"
"137","Pohnpeian"
"138","Pohnpeian"
"139","Pohnpeian"
"140","Mwokilese"
"141","Pohnpeian"
"142","Pohnpeian"
"143","Pohnpeian"
"144","Pohnpeian"
"145","Pohnpeian"
"146","Pohnpeian"
"147","Pohnpeian"
"148","Pohnpeian"
"149","Mortlockese"
"150","Pohnpeian"
"151","Pohnpeian"
"152","Pohnpeian"
"153","Pohnpeian"
"154","Pohnpeian"
"155","Pohnpeian"
"156","Pohnpeian"
"157","Pohnpeian"
"158","Pohnpeian"
"159","Pohnpeian"
"160","Pohnpeian"
"161","English"
"162","Tagalog"
"163","English"
"164","Pohnpeian"
"165","Tagalog"
"166","Pohnpeian"
"167","Pohnpeian"
"168","Pohnpeian"
"169","Tagalog"
"170","English"
"171","Pohnpeian"
"172","Pohnpeian"
"173","Pohnpeian"
"174","Pohnpeian"
"175","English"
"176","English"
"177","English"
"178","English"
"179","Pohnpeian"
"180","English"
"181","Pohnpeian"
"182","Pohnpeian"
"183","Pohnpeian"
"184","English"
"185","Finnish"
"186","English"
"187","English"
"188","Pohnpeian"
"189","Pingelapese"
"190","English"
"191","Pohnpeian"
"192","English"
"193","Pohnpeian"
"194","Pohnpeian"
"195","Mortlockese"
"196","Pingelapese"
"197","English"
"198","Pohnpeian"
"199","Pohnpeian"
"200","Pohnpeian"
"201","English"
"202","English"
"203","English"
"204","Pohnpeian"
"205","Pohnpeian"
"206","English"
"207","Pohnpeian"
"208","English"
"209","Mortlockese"
"210","English"
"211","Pohnpeian"
"212","Pohnpeian"
"213","English"
"214","Pohnpeian"
"215","Pohnpeian"
"216","Kosraean"
"217","English"
"218","Pohnpeian"
"219","Pohnpeian"
"220","English"
"221","English"
"222","English"
"223","English"
"224","Pohnpeian"
"225","Pohnpeian"
"226","English"
"227","Pohnpeian"
"228","Pohnpeian"
"229","Tagalog"
"230","Pohnpeian"
"231","Pohnpeian"
"232","English"
"233","Kosraean"
"234","Pohnpeian"
"235","Pohnpeian"
"236","Chuukese"
"237","Pohnpeian"
"238","Pohnpeian"
"239","Pohnpeian"
"240","English"
"241","Ulithian"
"242","Marshallese"
"243","Pohnpeian"
"244","Pohnpeian"
"245","Mortlockese"
"246","Yapese"
"247","English"
"248","Kosraean"
"249","Pohnpeian"
"250","Chuukese"
"251","Pohnpeian"
"252","Pohnpeian"
"253","Pohnpeian"
"254","Kosraean"
"255","English"
"256","Pingelapese"
"257","English"
"258","English"
"259","English"
"260","Pohnpeian"
"261","Pohnpeian"
"262","English"
"263","Pohnpeian"
"264","Pohnpeian"
"265","Tagalog"
"266","Pohnpeian"
"267","Pohnpeian"
"268","Chuukese"
"269","Pohnpeian"
"270","Urdu"
"271","English"
"272","English"
"273","English"
"274","Pohnpeian"
"275","Kosraean"
"276","Pingelapese"
"277","Pohnpeian"
"278","Pohnpeian"
"279","Pohnpeian"
"280","Pohnpeian"
"281","Mortlockese"
"282","Pohnpeian"
"283","English"
"284","Kosraean"
"285","Pohnpeian"
"286","English"
"287","Pohnpeian"
"288","Pohnpeian"
"290","Pohnpeian"
"291","Kosraean"
"292","English"
"293","Pohnpeian"
"294","Pohnpeian"
"295","Pingelapese"
"296","English"
"297","English"
"298","Pohnpeian"
"299","Pohnpeian"
"300","Pohnpeian"
"301","Chuukese"
"302","English"
"308","English"
"325","English"
"329","English"
"338","English"
"345","Pohnpeian"
"352","English"
"369","English"
"370","Meing"
"376","English"
"389","English"
"392","English"
"393","English"
"395","Pohnpeian"
"399","English"
"404","English"
"407","English"
"409","English"
"416","English"
"417","English"
"420","Mortlockese"
"425","English"
"427","English"
"430","English"
"432","Kapingamarangi"
"433","English"
"434","English"
"435","English"
"437","Pohnpeian"
"439","English"
"440","English"
"441","Pohnpeian"
"450","Pohnpeian"
"465","English"
"466","English"
"467","Mwokilese"
"469","Mwokilese"
"470","English"
"472","English"
"474","English"
"475","English"
"477","French"
"478","Pohnpeian"
"482","English"
"483","English"
"485","Pohnpeian"
"486","English"
"487","Japanese"
"488","Chuukese"
"490","Pohnpeian"
"492","Chuukese"
"493","Pohnpeian"
"494","Mwokilese"
"495","English"
"496","Pohnpeian"
"497","Pohnpeian"
"500","English"
"501","English"
"502","Pohnpeian"
"503","Pohnpeian"
"504","Pohnpeian"
"505","English"
"507","Pohnpeian"
"508","English"
"509","Pohnpeian"
"510","Pohnpeian"
"511","Pohnpeian"
"512","English"
"513","English"
"515","English"
"516","Pingelapese"
"517","English"
"518","Pohnpeian"
"519","Chuukese"
"520","English"
"521","Kosraean"
"522","Pohnpeian"
"523","Pohnpeian"
"526","Mortlockese"
"528","English"
"529","English"
"530","English"
"531","Mortlockese"
"534","English"
"537","Pohnpeian"
"538","English"
"541","Pohnpeian"
"542","English"
"543","Pohnpeian"
"544","English"
"545","English"
"546","Pohnpeian"
"547","English"
"548","Kosraean"
"549","English"
"550","English"
"551","English"
"554","English"
"555","Pohnpeian"
"556","Chuukese"
"558","Pohnpeian"
"559","Pohnpeian"
"560","Kosraean"
"562","English"
"563","Pohnpeian"
"564","English"
"566","Visayan"
"568","Mortlockese"
"569","Pohnpeian"
"571","English"
"574","Pohnpeian"
"577","Pohnpeian"
"582","Pohnpeian"
"584","Pohnpeian"
"585","English"
"587","Kosraean"
"591","English"
"592","English"
"593","Pohnpeian"
"594","English"
"595","English"
"596","English"
"600","English"
"602","English"
"646","Japanese"
"731","Kapingamarangi"
"742","English"
"768","Pingelapese"
"770","Pingelapese"
"783","Chuukese"
"791","English"
"793","English"
"795","English"
"798","English"
"804","Kosraean"
"811","Chuukese"
"814","Ngatikese"
"817","Mwokilese"
"820","English"
"822","Chinese"
"832","English"
"844","English"
"848","Outer Island Yapese"
"850","Pohnpeian"
"856","Mortlockese"
"870","English"
"878","English"
"892","Chuukese"
"897","Kosraean"
"903","Pohnpeian"
"1069","English"
"1112","English"
"1118","English"
"1123","Pohnpeian"
