language,domain,activity
english,work,email
english,work,technical_talk
pohnpeian,work,lunch_break
pohnpeian,work,pni_colleagues
english,work,pni_colleagues
english,work,non_pni_colleagues
english,work,presentations
pohnpeian,education,public_elementary
pingelapese,education,public_elementary
english,education,public_elementary
english,education,private_elementary
english,education,private_high_school
english,education,public_high_school
pingelapese,family,pingelapese_family
pohnpeian,family,pohnpeian_family
english,family,american_family
japanese,family,japanese_family
pohnpeian,family,japanese_family
english,family,pohnpeian_family
pohnpeian,education,school_friends
english,education,school_friends
english,family,pingelapese_family
english,education,college_class
pingelapese,work,pingelapese_students
english,title_system,pni_chiefs
pohnpeian,title_system,pni_chiefs
meing,title_system,pni_chiefs
wahu,title_system,pingelapese_chiefs
pingelapese,title_system,pingelapese_chiefs
english,media,facebook
pohnpeian,media,facebook
english,family,family_abroad
pingelapese,family,family_abroad
pohnpeian,family,family_parties
mwokilese,education,public_elementary
meing,places,rural_pohnpei
meing,identity,elders
pohnpeian,identity,elders
english,identity,youth
pohnpeian,identity,youth
meing,education,public_elementary
mwokilese,family,mwokilese_family
pingelapese,friends,mwokilese_friends
pohnpeian,friends,pohnpeian_friends
mwokilese,friends,mwokilese_friends
pingelapese,family,mwokilese_family
pohnpeian,church,church
pohnpeian,family,family_abroad
meing,church,church
pingelapese,church,church
mwokilese,church,church
pohnpeian,media,am_radio
english,media,fm_radio
pohnpeian,places,rural_pohnpei
pohnpeian,places,sakau
english,places,kolonia
pohnpeian,places,store
pohnpeian,places,kolonia
pingelapese,places,sokehs
mortlockese,places,sokehs
mwokilese,places,sokehs
pohnpeian,places,sokehs
english,media,tv
mortlockese,family,mortlockese_family
pingelapese,friends,pingelapese_friends
mwokilese,friends,pingelapese_friends
pohnpeian,friends,pingelapese_friends
pohnpeian,friends,mwokilese_friends
mortlockese,family,mortlockese_friends
pohnpeian,family,mortlockese_friends
yapese,family,yapese_friends
kosraean,family,kosraean_friends
english,family,kosraean_friends
english,family,yapese_friends
english,media,newspaper