questionnaire_id,age,sex,birth_location,home_island,home_village,citizenship,current_muni,current_village,time_fsm,time_pni,pni_current_place,travelled_abroad,travel_location,education,elementary_type,hs_type,children,occupation,occupation_mother,occupation_father,mother_islandvill,father_islandvill,lang1,lang_well,lang_little,meing,lang_mother,lang_father,lang_children,lang_better,elem_lang,hs_lang,lang_college,family_lang,friends_lang,foreign_lang,word_lang,school_lang,home_lang,making_friends,being_successful,good_education,happy_relationships,getting_money,reading,writing,radio,tv,accepted_pni,talking_teachers,talking_villages,funerals,kamadipw,sakau,facebook,talking_kolonia,talking_chief,talking_gov,good_job,friends_school,church,store,talking_neighbors,us_relatives,local_lang,english_more_import_local,english_smarter,eng_pni_diff,learn_pni_first,pni_more_import_eng,pni_jobs_pni,pni_jobs_abroad,eng_jobs_abroad,eng_jobs_pni,many_lang_easy,many_lang_important,one_lang_life_diff,eng_more_import_pni,sad.pni.no.pni,sad_pni_no_eng,sad_pni_abroad,sad_eng_abroad,youths_bad_eng,youths_bad_pni,micros_need_eng,pnis_need_eng,kolonia_need_eng,all_lang_live_together,pni_unfashionable,eng_more_val_pni,micro_youth_like_eng,micro_older_like_eng,mehn_wai_need_learn_pni,pni_youth_like_pni,pni_older_like_pni,pni_important_pni,pni_simpler_eng,choose_pni,choose_eng,feel_positive_pni,to_be_pni_speak_pni,cant_pni_no_pni,quiet,stupid,loud,kindhearted,feminine,masculine,honest,modern,attractive,successful,peaceful,violent,young,poor,old,rich,pretentious,proud,respectful,wise,patriotic,cultured,showoffs,humble,generous,uneducated,desc_pni,desc_eng
37,35 -- 44,Female,Pohnpei State,Pohnpei,Pingelap,FSM,Sokehs,Sapwoahn,30 - 39 years,30 - 39 years,30 - 39 years,Yes,"Australia - 1.5 yrs; Maquoketa, IA - 3 months ",Master's degree,Public school,Public school,2,Associate Professor,Teacher,Administrator for Dept. Of Education,"Pingelap, Pohnpei","Pingelap, Pohnpei",Pingelapese,"Pohnpeian,  English",Mwoakillese,Somewhat well,same as me,Similar and Kosraen,"Pingelapese, Mwoakillese, Pohnpeian and English",Pohnpeian,Pohnpeian,English,English,Pingelapese,"Pingelapese, and Pohnpeian and English",English,English,"Pingelapese, Pohnpeian & English",Pingelapese,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pingelapese,Pingelapese,Pingelapese,Pingelapese,Pohnpeian,Pingelapese,English,English,Pingelapese,Pingelapese,Pingelapese,Pingelapese,Pingelapese,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,1,3,4,4,4,4,1,4,4,1,"Wahu, Deep, Culture, Meing, Difficult","Descriptive, Poetic, Deep, Hard, Semantics"
38,45 -- 54,Female,Pohnpei State,Pohnpei,Danpei,FSM,Nett,Dolonier,20 - 29 years,20 - 29 years,5 - 9 years,Yes,"Oregon and 17 years, Vanuatu 4 years, Fiji 6 months","Professional degree (JD, MD, etc.)",Private school,Private school,1,Legal Assistant,Teacher,State Public Auditor,"Pohnpei, Nett","Pohnpei, Sokehs",Mwoakilloa,English,Pohnpeian,Not at all,"Mwoakilloa, Pohnpeian, Kosraean, English","Mwoakilloa, Pohnpeian, English",English,Pohnpeian,English,English,English,Mwoakilloa,English,English,English,English,Mwoakilloa,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Mokilese,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Mokilese,Pohnpeian,Pohnpeian,Mokilese,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,3,1,3,3,1,1,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,1,3,3,1,"Hard, Fluent, Interesting, Complicated, Culture","Easy, Fluent, Hard, Complicated, American"
39,35 -- 44,Female,Pohnpei State,Pohnpei,MESIHSOU,FSM,Madolenihmw,UH,10 - 19 years,40 or more years,10 - 19 years,No,,Associate degree,Public school,Public school,3,ARCHIVIST AND RECORD SPECIALIST,N/A,N/A,MADOLENIHMW MESIHSOU,MADOLENIHMW MESIHSOU,POHNPEI,ENGLISH ,MWOKILOA,Not at all,POHNPEI,POHNPEI,POHNPEI ,POHNPEI,ENGLISH AND POHNPEI ,ENGLISH,ENGLISH,POHNPEI,POHNPEI,ENGLISH,ENGLISH AND POHNPEI ,POHNPEI,POHNPEI,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"KOHDO, KITA, MWONGE, SOHRI, COMPUTER","USE,RICE. COMB, SORRY, CANDY"
40,35 -- 44,Female,RMI,Pohnpei,Kitti,FSM,Kitti,Pehleng,40 or more years,40 or more years,,Yes,Guam 2 years,Associate degree,Public school,Public school,5,Clerk typist2,none,none,pohnpei kitti,pohnpei sokehs,pohnpei,"poehnpei , mokillese , pingelapese","kosraen ,",Very well,pohnpei,pohnpei,pohnpei,english,pohnpeian,"english,and pohnpei",english,pohnpei,"pohnpei,english",english,english,english,pohnpei,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,1,1,3,2,2,3,1,3,3,1,,
41,25 -- 34,Female,Pohnpei State,Pohnpei,"Poail, Kitti",FSM,Kitti,"Dolonier, Nett",10 - 19 years,10 - 19 years,10 - 19 years,Yes,West Coast - USA - 7 years & 4 years (for college),Bachelor's degree,Private school,Private school,0,High School Teacher for 4 years - now Assistant to Compact Management Division,Secretary/Registrar,Principal,Sapwuahfik - Outer Island of Pohnpei,"Kitti, Pohnpei",Pohnpeian,Pohnpeian and English,Spanish,Not at all,"Ngatikese, Pohnpeian, English","Pohnpeian, English","Pohnpeian, English, Spanish, Japanese",Japanese,English,English,English,Pohnpeian and English,Pohnpeian and English,English,English,English,English and Pohnpeian,English,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,1,"Phonetic, Respectful (meing), Fast-paced, Beautiful, Original",Overvalued; Self-Righteous; Proud; Redundant; Close-Minded
36,65 -- 74,Male,US Mainland,USA,Louisiana,USA,Nett,Kolonia,20 - 29 years,20 - 29 years,20 - 29 years,Yes,USA 8 years; Philippines 6 months,"Professional degree (JD, MD, etc.)",Public school,Public school,0,Catholic priest,registered nurse,public school teacher and administrator,"Parachute, Colorado, USA","Basile, Louisiana, USA",English,Pohnpeian,Marshallese,Well,English,"French, English",,Pohnpeian,English,English,English,English,"English, Pohnpeian",English,"Pohnpeian, English",English,"English, Pohnpeian",Pohnpeian,Pohnpeian,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,2,1,1,3,1,1,3,2,3,3,3,1,1,2,3,1,1,2,4,3,3,3,1,3,4,1,"unique, honorific, sophisticated, adaptable, evolving","difficult, useful, changing, ubiquitous, necessary"
42,35 -- 44,Female,US Mainland,USA,Mainland,USA,Uh,"Awak, pah",10 - 19 years,10 - 19 years,0 - 4 years,Yes,"Fiji (three weeks), Thailand (10 days), Singapore (ten days), Hong Kong (ten days), Costa Rica (5days), Ireland(2 weeks), Marshall Islands (5 days)",Bachelor's degree,Public school,Public school,1,Missionary wife,Homemaker,Minister,"NY, usa","Ohio, Usa",English,Pohnpeian,"Kosraean, nukuoran, chuukese",Somewhat well,"English, french",English,"English, Pohnpeian, Spanish, Irish, french","Irish, Spanish, french",English,"English, spanish",English,"English, Pohnpeian","English, Pohnpeian, Kosraean","English, pohnpeian","Pohnpeian, English","English, pohnpeian","English, pohnpeian",Pohnpeian,Pohnpeian,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,1,1,1,1,1,1,1,3,3,3,1,1,3,3,3,1,1,3,3,1,3,3,1,1,1,1,"Ancient, honorable, complicated, melodic, fast","Hard, non-sensical, monotone, broad, universal"
43,25 -- 34,Female,Pohnpei State,Pohnpei,Kahmar,FSM,Nett,Kahmar,20 - 29 years,20 - 29 years,20 - 29 years,Yes,"Hilo, Hawaii for 3 and half years",Bachelor's degree,Public school,Public school,1,n/a,Payroll accountant,Self employed,"Nett, pohnpei","Kolonia, pohnpei",Pohnpeian,English,N/a,Not at all,Pohnpeian and English,Pohnpeian and English,"Pohnpeian, English, and mortluckese",N/a,English,English,English,Pohnpeian,English and pohnpeian,English,N/a,N/a,Pohnpeian,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,Confusing,"Difficult,"
44,45 -- 54,Female,Pohnpei State,Pohnpei,Kitti,FSM,Kitti,Kitti,40 or more years,40 or more years,40 or more years,Yes,"Hawaii 2 years in 1980 and more visits afterwards, Japan 1 month, Philippine 1 month, and Missouri 3 months.","Some college, no degree",Public school,Public school,4,Administrative Assistant,Deceased,Deceased,Pohnpei,Pohnpei,Pohnpeian,English,Chuukese and Mokilese,Not at all,Pohnpeian and Mokilese,Pohnpeian,Pohnpeian and English,Pohnpeian,Pohnpeian,English and Pohnpeian,English,Pohnpeian,Pohnpeian and English,English,English,English and Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,4,2,2,4,4,3,3,3,3,4,4,1,3,1,4,4,1,4,4,4,2,4,1,4,4,1,,
45,35 -- 44,Female,Pohnpei State,Pohnpei,"Enipein Powe, Kitti",FSM,Kitti,Enipein Pah,40 or more years,40 or more years,20 - 29 years,No,,Associate degree,Public school,Public school,5,Secretary,Housewife,School Bus Driver,"Enipein Powe, Kitti, Pohnpei","Enipein Powe, Kitti, Pohnpei",Pohnpeian,English,,Somewhat well,Pohnpeian,Pohnpeian,Pohnpeian/English/Japanese,Pohnpeian/English,English/Pohnpeian,English,English,Pohnpeian,Pohnpeian,English/Pohnpeian,Pohnpeian/English,English/Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Other,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Other,Pohnpeian,Other,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Other,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,1,1,2,4,4,4,4,1,4,4,4,1,1,1,3,1,1,1,4,4,1,2,1,4,4,1,My language is my IDENTITY.,English language is my FASHION
46,45 -- 54,Male,Pohnpei State,Pohnpei,Kolonia,FSM,Madolenihmw,Sapwalap,40 or more years,40 or more years,10 - 19 years,Yes,"Australia,USA,Japan and all the South Pacific Islands",Trade/Technical/vocational training,Both,Private school,7,Fishery observer Trainer and assessor,Tailor,Real esitate,Pohnpei Kitti,Chuuk Fefen,Pohnpei,"Chuukese,Yapese,outer island of Yap and Palau, Mwoakilese, Ngatikese, Pingilapese,","Spanish,Marshallese, pigin English of Solomons,PNG,and Vanuatu",Very well,"Chuukese,Pohnpeian,Ngatikese,Kosraean,Mwoakilese,English","Pohnpeian,Chuukese,outer island of Yap and Palau,English and Phillipino(Tagalo)","Pohnpeian as mother tongue, English, Japanese,Chinese and French",Spanish,English and Pohnpeian,English only,English,Pohnpeian,Depend on which country they are from,English and depending which Country they are from,English and other nationals of the FSM as well as south Pacific,Back in High school its a mix of all FSM languages and Palauan plus the Marshallese language,Pohnpeian and English,English,English,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,2,1,2,3,1,1,2,3,3,3,3,2,3,1,3,3,2,2,4,3,2,3,2,3,3,1,"Humble,peaceful,Cultured,Generous,Polite","laud,detail,Polite,patriotic and proud"
47,25 -- 34,Female,Pohnpei State,Pohnpei,"Wone, Kitti",FSM,Kitti,Wone Kitti,30 - 39 years,30 - 39 years,30 - 39 years,Yes,"USA, Japan, two weeks at most",Associate degree,Public school,Public school,2,Legislative Assistant,unemployed,,Wone Kitti,,Pohnpeian,English,None,Well,Pohnpeian,,"Pohnpeian, English",,"Pohnpeian, English","Pohnpeian, Engllish",English,"Pohnpeian, English","Pohnpeian, English",English,"Pohnpeian, English","Pohnpeian, English","Pohnpeian, English",Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,3,1,1,4,1,1,3,4,2,3,4,1,2,1,1,1,1,1,4,4,4,4,1,3,3,1,"Waun, respectful, comforting, sensitive, powerful","easy, convenient, direct, powerful, respectful"
48,25 -- 34,Male,Pohnpei State,,Kahmar,FSM,Nett,Kahmar,30 - 39 years,30 - 39 years,30 - 39 years,Yes,Palau,"High school, diploma, or GED",Public school,Private school,2,Airport ramp supervisor,Tourism manager,Front desk,Nett,Uh,Pohnpeian,English,,Well,,,Pohnpeian,French,English,English,,Pohnpeian,English/Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1,1,1,4,1,1,2,2,2,2,4,1,1,1,1,1,1,1,4,4,4,4,1,4,4,1,,
49,55 -- 64,Male,Pohnpei State,Sokehs,Roie(Deh),FSM,Sokehs,Roie(Deh),40 or more years,40 or more years,40 or more years,Yes,Guam for five years,Bachelor's degree,Public school,Public school,5,Classroom Teacher,Housekeeping,Farmer,Roie(Deh),Roie(Deh),Mortlockese,Chuukese/Pohnpeian/English,Carolinian,Well,Mortlockese,Mortlockese,Mortlockese/Pohnpeian/English,Pohnpeian,Mortlockese,English,English,Mortlockese,Mortlockese/Pohnpeian/Chuukese/English,English,English/Pohnpeian,English/Pohnpeian,Mortlockese,English,English,English,Mortlockese,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Mortlockese,Pohnpeian,Mortlockese,Mortlockese,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,2,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,1,4,4,1,2,2,1,"Unique, organized, simple,good,respectful","Good,complicated,organized,popular,easy"
50,18 -- 24,Female,Guam,Pohnpei,Rohi,USA,Kitti,Wone,20 - 29 years,20 - 29 years,0 - 4 years,Yes,"Guam about 1 year or so. South Carolina, 5 months. Georgia, 1 month. Kansas, 4 months.","Some college, no degree",Both,Public school,2,"none, job hunting at the moment",housewife/family business manager,Electrician/Fisherman and farmer part-time,"Pohnpei, Sokehs, Palikir","Pohnpei, Kitti, Rohi",Pohnapeian,english and chinese,"Japanese, Spanish, ASL, Phillipines",Well,English and Pohnapeian,"Kosraean, Japanese, Pohnapeian, English, and Chukese",English and Pohnapeian,"Chinese, Japanese, ASL and Spanish",English,English and Pohnapeian,English and Chinese,English and Pohnpeian,English and Pohnapeian,English,English and Pohnapeian,English and Pohnapeian,English and Pohnapeian,English,English,English,Pohnpeian,English,English,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,1,2,4,3,2,2,3,3,2,3,3,3,3,2,3,2,4,4,3,3,2,3,4,3,3,2,"specific, romantic, difficult, poetic, elegant","easy, straight, forward, world-wide, meaningful"
51,35 -- 44,Female,Pohnpei State,Pohnpei,"Madolenihmw, Elieliwi",FSM,Madolenihmw,Elieliwi,30 - 39 years,30 - 39 years,30 - 39 years,Yes,"Guam, one year",Master's degree,Public school,Public school,1,Program Coordinator (Education Division),Teacher Aid,Classroom Teacher,Madolenihmw,Madolenihmw,Pohnpeian,English,NOne,Somewhat well,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian and english,Bilingual/english and pohnpeian,,english,pohnpeian,"native tongue, if understand the language",english,,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,4,1,1,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,"Changing, extinct, hard","complicated,"
52,25 -- 34,Male,Pohnpei State,Pohnpei,Kitti,FSM,Nett,Nett,30 - 39 years,30 - 39 years,0 - 4 years,No,,Associate degree,Public school,Private school,2,Environmental Educator,House mother,Fisherman,Pohnpei Kitti,Pohnpei Kitti,Pohnpeian,English,Sapwafik,Well,Pohnpeian,Pohnpeian,"English, Pohnpei, any","Pohnpeian, English, Chines","Pohnpeian, English",English,English,"Pohnpeian, English","Pohnpeian, English, Sapwafik",English,"English, Pohnpeian",English,Pohnpeian English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,3,1,4,4,3,3,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,2,4,4,2,"Wahu, Sakau, Pei, Sarawi, Peren",Build
53,25 -- 34,Female,Pohnpei State,pohnpei,paliais,FSM,Nett,,10 - 19 years,10 - 19 years,10 - 19 years,Yes,,"High school, diploma, or GED",Public school,Public school,4,Artist,Artistic,cloth designer,paliais,ipwitek,pohnpeian,english,ngetik and spanish,Somewhat well,pohnpeian,pohnpeian,"english,pohnpeian and spanish",spanish,pohnpeian and english,english,english,pohnpeian,english,english,english,english,english pohnpeian and spanish,English,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,1,1,4,4,4,2,3,3,3,3,4,4,2,1,4,2,3,4,4,4,4,4,1,4,3,2,"important,unique, exotic, romantic, lovely.",important for communication around the world.